"region","monthly.anom","date"
"North_Pacific",-0.181501010672271,1969-05-01
"North_Pacific",-0.41014626682975,1969-06-01
"North_Pacific",-0.238604423219605,1969-07-01
"North_Pacific",-0.185650820951184,1969-08-01
"North_Pacific",-0.200908200410106,1969-09-01
"North_Pacific",-0.55961093549902,1969-10-01
"North_Pacific",-0.484565427536826,1969-11-01
"North_Pacific",-0.446682264129972,1969-12-01
"North_Pacific",-0.438481774948829,1970-01-01
"North_Pacific",-0.349741754448854,1970-02-01
"North_Pacific",-0.307165088211105,1970-03-01
"North_Pacific",-0.222746686072075,1970-04-01
"North_Pacific",-0.184636663249464,1970-05-01
"North_Pacific",-0.264142033887779,1970-06-01
"North_Pacific",-0.364845608696271,1970-07-01
"North_Pacific",-0.233378313730358,1970-08-01
"North_Pacific",-0.222313441335488,1970-09-01
"North_Pacific",-0.102844138898136,1970-10-01
"North_Pacific",-0.168017856029098,1970-11-01
"North_Pacific",-0.174509379204837,1970-12-01
"North_Pacific",-0.26773793158106,1971-01-01
"North_Pacific",-0.294296540615998,1971-02-01
"North_Pacific",-0.315538445553796,1971-03-01
"North_Pacific",-0.252368947642337,1971-04-01
"North_Pacific",-0.401404375457076,1971-05-01
"North_Pacific",-0.360239030142295,1971-06-01
"North_Pacific",-0.179207874520897,1971-07-01
"North_Pacific",-0.395088597103239,1971-08-01
"North_Pacific",-0.814524086241534,1971-09-01
"North_Pacific",-0.762353467569421,1971-10-01
"North_Pacific",-0.615643340209014,1971-11-01
"North_Pacific",-0.417649740508622,1971-12-01
"North_Pacific",-0.434159861648718,1972-01-01
"North_Pacific",-0.338705642243963,1972-02-01
"North_Pacific",-0.299111329126367,1972-03-01
"North_Pacific",-0.295936705158141,1972-04-01
"North_Pacific",-0.143757642666791,1972-05-01
"North_Pacific",-0.228270653712639,1972-06-01
"North_Pacific",-0.220213923936251,1972-07-01
"North_Pacific",-0.43516845853375,1972-08-01
"North_Pacific",-0.552453483694645,1972-09-01
"North_Pacific",-0.588649968369548,1972-10-01
"North_Pacific",-0.502170139275421,1972-11-01
"North_Pacific",-0.302817554619898,1972-12-01
"North_Pacific",-0.210847548625292,1973-01-01
"North_Pacific",-0.13328910095787,1973-02-01
"North_Pacific",-0.133964303587215,1973-03-01
"North_Pacific",-0.0956170183519842,1973-04-01
"North_Pacific",-0.170195866538022,1973-05-01
"North_Pacific",-0.293624117173944,1973-06-01
"North_Pacific",-0.437272747636535,1973-07-01
"North_Pacific",-0.408915398166274,1973-08-01
"North_Pacific",-0.480612793260235,1973-09-01
"North_Pacific",-0.388331947732581,1973-10-01
"North_Pacific",-0.274237918730232,1973-11-01
"North_Pacific",-0.308236083873501,1973-12-01
"North_Pacific",-0.215571049377058,1974-01-01
"North_Pacific",-0.150763284511621,1974-02-01
"North_Pacific",-0.245143499110055,1974-03-01
"North_Pacific",-0.261149094562502,1974-04-01
"North_Pacific",-0.309269782524527,1974-05-01
"North_Pacific",-0.393354528719529,1974-06-01
"North_Pacific",-0.389415651879997,1974-07-01
"North_Pacific",-0.331966299176424,1974-08-01
"North_Pacific",-0.16915022037205,1974-09-01
"North_Pacific",-0.0312100650674722,1974-10-01
"North_Pacific",-0.279306663139089,1974-11-01
"North_Pacific",-0.20349250487831,1974-12-01
"North_Pacific",-0.169410509553948,1975-01-01
"North_Pacific",-0.237362616329085,1975-02-01
"North_Pacific",-0.220299450245802,1975-03-01
"North_Pacific",-0.25671383171955,1975-04-01
"North_Pacific",-0.305006538034074,1975-05-01
"North_Pacific",-0.399518331167766,1975-06-01
"North_Pacific",-0.447980602729233,1975-07-01
"North_Pacific",-0.576686000869059,1975-08-01
"North_Pacific",-0.416871825071255,1975-09-01
"North_Pacific",-0.247392736981549,1975-10-01
"North_Pacific",-0.430205105862476,1975-11-01
"North_Pacific",-0.272128225954805,1975-12-01
"North_Pacific",-0.321521486135436,1976-01-01
"North_Pacific",-0.267575261688343,1976-02-01
"North_Pacific",-0.211270731063237,1976-03-01
"North_Pacific",-0.354755099305796,1976-04-01
"North_Pacific",-0.534109097905178,1976-05-01
"North_Pacific",-0.590635328625672,1976-06-01
"North_Pacific",-0.811509654524401,1976-07-01
"North_Pacific",-0.809849574571477,1976-08-01
"North_Pacific",-0.782809071094098,1976-09-01
"North_Pacific",-0.584710670596306,1976-10-01
"North_Pacific",-0.495033559934271,1976-11-01
"North_Pacific",-0.227702147741957,1976-12-01
"North_Pacific",-0.228202840675435,1977-01-01
"North_Pacific",-0.207340893864937,1977-02-01
"North_Pacific",-0.286572689786827,1977-03-01
"North_Pacific",-0.320246744382502,1977-04-01
"North_Pacific",-0.363119079663152,1977-05-01
"North_Pacific",-0.368002613857994,1977-06-01
"North_Pacific",-0.320361544473422,1977-07-01
"North_Pacific",-0.159814975382984,1977-08-01
"North_Pacific",0.0491582912127526,1977-09-01
"North_Pacific",-0.092959675627364,1977-10-01
"North_Pacific",-0.471563055114584,1977-11-01
"North_Pacific",-0.245522085309442,1977-12-01
"North_Pacific",-0.166776934288438,1978-01-01
"North_Pacific",-0.203859586222958,1978-02-01
"North_Pacific",-0.254221822431091,1978-03-01
"North_Pacific",-0.246317407095755,1978-04-01
"North_Pacific",-0.310388474437324,1978-05-01
"North_Pacific",-0.322014366684827,1978-06-01
"North_Pacific",-0.0432732811673025,1978-07-01
"North_Pacific",-0.1930882365502,1978-08-01
"North_Pacific",-0.167270938571452,1978-09-01
"North_Pacific",-0.0723656771687815,1978-10-01
"North_Pacific",-0.203767495118485,1978-11-01
"North_Pacific",-0.153468037296153,1978-12-01
"North_Pacific",-0.0541449953817071,1979-01-01
"North_Pacific",-0.0403499835958907,1979-02-01
"North_Pacific",-0.0681939058495722,1979-03-01
"North_Pacific",-0.13948636224006,1979-04-01
"North_Pacific",-0.375870993292837,1979-05-01
"North_Pacific",-0.321318195080127,1979-06-01
"North_Pacific",-0.269640797298744,1979-07-01
"North_Pacific",-0.0131601377133577,1979-08-01
"North_Pacific",0.0180793264923624,1979-09-01
"North_Pacific",-0.189371829364873,1979-10-01
"North_Pacific",-0.122401133939454,1979-11-01
"North_Pacific",-0.0879214096682651,1979-12-01
"North_Pacific",-0.0766480234049365,1980-01-01
"North_Pacific",-0.18523467925183,1980-02-01
"North_Pacific",-0.0976632211257026,1980-03-01
"North_Pacific",-0.320053299720596,1980-04-01
